"","gname","times"
"2186","Organization of Soldiers of the Levant",1
"2187","Organization of the Sons of Occupied Territories",2
"2188","Organization of Volunteers for the Puerto Rican Revolution",15
"2189","Organized Comrades for Feminist Counter-Power",3
"2190","Organized Comrads for Communism",1
"2191","Organized Crime",2
"2192","Organized Proletarian Communists",3
"2193","Orly Organization",9
"2194","Oromo Liberation Front",8
"2195","Other",463
"2196","Otpor",4
"2197","Overall Deniers of Joining the Existing",3
"2198","Pacific Popular Front",1
"2199","Pacifist and Ecologist Committee",2
"2200","Pagan Sect of the Mountain",9
"2201","Pahadi Cheetah",1
"2202","Pakistani People's Party (PPP)",9
"2203","Pakistani trained terrorists",1
"2204","Pakistan Muslim League (PML)",1
"2205","Palestine Liberation Front (PLF)",8
"2206","Palestine Liberation Organization (PLO)",175
"2207","Palestinian Activists",1
"2208","Palestinian Extremists",226
"2209","Palestinian Forces",1
"2210","Palestinian Hezbollah",2
"2211","Palestinian Islamic Jihad (PIJ)",185
"2212","Palestinian/Lebanese nationalists",2
"2213","Palestinian Liberation Command",1
"2214","Palestinian-nationalist Lebanese joint movement",1
"2215","Palestinian Revolution Forces",6
"2216","Palestinians",1124
"2217","Palestinian Students",1
"2218","Palestinian support group",1
"2219","Pan Africanist Congress (PAC)",5
"2220","Panama Defense Force",3
"2221","Panthic Committee",1
"2222","Pan-Turkish Organization",1
"2223","Paraguayan People's Army (EPP)",52
"2224","Paramilitaries",41
"2225","Paramilitary members",1
"2226","Parbatya Chattagram Jana Sanghati Samity (PCJSS) - Bangladesh",2
"2227","Pareci Indians",1
"2228","Partido Marxista-Leninista ng Pilipinas (PMLP)",1
"2229","Partisan Sharpshooters",1
"2230","Party for Democracy anti-nuclear-test protesters",1
"2231","Party for the Liberation of the Hutu People (PALIPEHUTU)",39
"2232","Party of National Conciliation",1
"2233","Party Unity",1
"2234","Pataxo Indians",1
"2235","Pathan Tribal Group",1
"2236","Patria Nueva (New Country)",3
"2237","Patria y Libertad (Fatherland and Liberty)",1
"2238","Patriotic Command San Jose",1
"2239","Patriotic Ginbot 7 Movement for Unity and Democracy (PGMUD)",2
"2240","Patriotic Liberation Front",5
"2241","Patriotic Liberation Front (FPL)",1
"2242","Patriotic Morazanista Front (FPM)",26
"2243","Patriotic Moroccan Front",1
"2244","Patriotic Resistance Army (ERP)",1
"2245","Patriotic Resistance Front in Ituri (FRPI)",27
"2246","Patriotic Union of Kurdistan (PUK)",7
"2247","Pattali Makkal Katchi (PMK)",4
"2248","Pattani United Liberation Organization (PULO)",47
"2249","Paupa New Guinea Troops",1
"2250","Peace Conquerors",1
"2251","Peasant Militants",1
"2252","Peasant protesters",2
"2253","Peasant Self-Defense Group (ACCU)",24
"2254","Peasant Squatters",1
"2255","Pedro Albizu Campos Revolutionary Forces",7
"2256","Pedro Leon Arboleda (PLA)",7
"2257","Pemuda Pancasila",1
"2258","Pentagon Kidnap Group",1
"2259","People Against Gangsterism and Drugs (PAGAD)",10
"2260","People's Alliance",2
"2261","People's Amn Committee",2
"2262","People's Armed Revolutionary Branch",1
"2263","People's Army (Myanmar)",6
"2264","People's Army (Nicaragua)",1
"2265","People's Brigade For A Healthy Genetic Future",1
"2266","People's Command",1
"2267","People's Committee against Police Atrocities (PCPA)",22
"2268","People's Defense Unit (Turkey)",1
"2269","People's Democratic Army",4
"2270","People's Democratic Party (PDP)",5
"2271","People's Democratic Struggle Movement",1
"2272","People's Fatherland Movement",8
"2273","People's Fighter Group (Band of Popular Fighters)",1
"2274","People's Guerrilla Front",1
"2275","People's Guerrilla Movement",1
"2276","People's Information Group",1
"2277","People's Liberation Army (India)",79
"2278","People's Liberation Army (Mexico)",1
"2279","People's Liberation Army (Northern Ireland)",1
"2280","People's Liberation Army (United States)",1
"2281","People's Liberation Force",1
"2282","People's Liberation Forces (FPL)",167
"2283","People's Liberation Front (JVP)",433
"2284","People's Liberation Front of India",43
"2285","People's Liberation Front of Niger",1
"2286","People's Liberation Movement",3
"2287","People's Liberation Organization of Tamil Eelam",4
"2288","People's Military Organization (OMP)",1
"2289","People's Militia of Dagestan",2
"2290","People's National Liberation Movement",1
"2291","People's Rebellion",1
"2292","People's Resistance Organized Army",1
"2293","People's Revolutionary Army (ERP)",10
"2294","People's Revolutionary Army (ERP) (El Salvador)",64
"2295","People's Revolutionary Command (CRP)",5
"2296","People's Revolutionary Militias (MRP)",4
"2297","People's Revolutionary Organization",14
"2298","People's Revolutionary Organization- Colombia (ORP)",2
"2299","People's Revolutionary Party",1
"2300","People's Revolutionary Party of Kangleipak (PREPAK)",20
"2301","People's Revolutionary Party of Kangleipak-Progressive (PREPAK-P)",7
"2302","People's Revolutionary Party (Tanzania)",1
"2303","People's Revolutionary Union",1
"2304","People's Sovereignty Party (PDR)",1
"2305","People's Tamil Organization",2
"2306","People's Temple",1
"2307","People's United Democratic Movement (PUDEMO)",1
"2308","People's United Liberation Front (PULF)",7
"2309","People's War Group (PWG)",97
"2310","Peronist Armed Forces (FAP)",9
"2311","Personnel of the National Information Center",1
"2312","Peruvian Anti-Communist Alliance (AAP)",1
"2313","Peruvian Rebels",1
"2314","Pessach Group",2
"2315","Peykar",1
"2316","Phalange",5
"2317","Phillipine Moslems",1
"2318","Phineas Priesthood",4
"2319","Pirates",12
"2320","Plowshares",1
"2321","Policarpa Salauarpieta (Women's Command)",1
"2322","Polisario Front",19
"2323","Polish",2
"2324","Polish Revolutionary Home Army",1
"2325","Polish Skinheads",1
"2326","Political Activists",13
"2327","Political Group",13
"2328","Political Military Organization of Paraguay",1
"2329","Politico-Military Revolutionary Command",1
"2330","Poor People's Party",2
"2331","Popular Anti-Communist Militias",3
"2332","Popular Army for the Restoration of Democracy (APRD)",1
"2333","Popular Army Vanguards- Battalions of Return",2
"2334","Popular Democratic Movement (MPD)",1
"2335","Popular Forces of April 25",47
"2336","Popular Front for Justice in the Congo",5
"2337","Popular Front for Recovery (FPR)",2
"2338","Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",8
"2339","Popular Front for the Liberation of Palestine (PFLP)",150
"2340","Popular Front for the Liberation of the Sahara",1
"2341","Popular Liberation Army (EPL)",260
"2342","Popular Liberation Army (Puerto Rico)",4
"2343","Popular Liberation Front Urban Commando",1
"2344","Popular Liberation Resistance Force",6
"2345","Popular Militia (Chile)",2
"2346","Popular Militia (Colombia)",15
"2347","Popular Movement for the Liberation of Angola",9
"2348","Popular Movement for the Liberation of Cabinda",2
"2349","Popular Rage",4
"2350","Popular Resistance Army (PRA)",1
"2351","Popular Resistance Brigade",1
"2352","Popular Resistance Committees",47
"2353","Popular Resistance Committees (Yemen)",22
"2354","Popular Resistance Front (FPR)",1
"2355","Popular Resistance (Laiki Antistasi)",2
"2356","Popular Resistance Movement (Egypt)",14
"2357","Popular Resistance Sabotage Group",2
"2358","Popular Revolutionary Action",1
"2359","Popular Revolutionary Army (Mexico)",21
"2360","Popular Revolutionary Bloc (BPR)",38
"2361","Popular Revolutionary Commandos",2
"2362","Popular Revolutionary Movement (Colombia)",1
"2363","Popular Revolutionary Movement (Italy)",2
"2364","Popular Revolutionary Resistance Group",1
"2365","Popular Revolutionary Vanguard (VPR)",5
"2366","Popular Will (Greece)",3
"2367","Porattom",1
"2368","PORE",1
"2369","Portuguese Anti-Communist Movement",1
"2370","Portuguese Liberation Army",1
"2371","Posse Comitatus",1
"2372","Poverty Brigade",1
"2373","Powers of the Revolutionary Arc",1
"2374","Praveen Dalam",1
"2375","P.R.E.",1
"2376","Presidential Movement (MP) Militiamen",1
"2377","Prima Linea",58
"2378","Prisoner  Gourgen Yanikian Group",1
"2379","Prisoner's Action Force",1
"2380","Pro-Aristade",1
"2381","Professional Killers",2
"2382","Pro-Government Students",1
"2383","Progressive Socialist Party (PSP)",1
"2384","Pro Hartal Activists",92
"2385","Pro-Indonesia Activists",1
"2386","pro-iranian terrorists",2
"2387","Pro-Iraqi Terrorists",3
"2388","Pro-Kabul Provocateurs",3
"2389","Pro-Khasbulaton Rebels",2
"2390","pro Khomeni group, name unk",1
"2391","Proletarian Action Group",2
"2392","Proletarian Armed Squads",1
"2393","Proletarian Assault Group",1
"2394","Proletarian Combatants for Communism",2
"2395","Proletarian communist commandos",1
"2396","Proletarian Division for the Army of Communist Liberation",1
"2397","Proletarian Fighting Brigades",1
"2398","Proletarian Fighting Patrol",7
"2399","Proletarian Initiative and Offensive for W. Europe",1
"2400","Proletarian Nuclei for Communism",2
"2401","Proletarian Nucleus",1
"2402","Proletarian Patrols",10
"2403","Proletarian Resistance Movement",1
"2404","Proletarian Revolutionary Action Front (FRAP)",2
"2405","Proletarian Solidarity",1
"2406","Proletariat Self-defense Groups",3
"2407","Pro-Libyan",1
"2408","Prolitarian Internationalism",1
"2409","pro-pakistani militants",2
"2410","Pro-Palestinian Group",4
"2411","Pro-Palestinian Immigrants",2
"2412","Pro-Russia Militia",14
"2413","Pro-State Militiamen",1
"2414","Protectors of Islam Brigade",1
"2415","Protestant Action Group",5
"2416","Protestant Extremists",333
"2417","Protesters",7
"2418","Provisional Coordinating Committee for the Defense of Labor",4
"2419","Provisional RSPCA",1
"2420","Puerto Rican Armed Resistance",5
"2421","Puerto Rican Liberation Front",2
"2422","Puerto Rican Nationalists",26
"2423","Puerto Rican Resistance Movement",3
"2424","Puerto Rican Revolutionary Movement",5
"2425","Puka Inti Maoist Communist Party",2
"2426","Punitive Leftist Front",5
"2427","Punjabi Taliban",4
"2428","Puratchi Puligal",1
"2429","Purbo Banglar Communist Party",21
"2430","Qaddaffis",8
"2431","Qari Kamran Group",1
"2432","Quartermoon Society",2
"2433","Quebec Separatists",1
"2434","Quintin Lame",11
"2435","Rabbi Rahane Group",1
"2436","Rabha National Security Force",1
"2437","Rabid Brothers of Giuliani",1
"2438","Radical Communist Armed Nucleus",1
"2439","Radicals",6
"2440","Rafallah al-Sahati Brigade",2
"2441","Rahanwein Resistance Army (RRA)",7
"2442","Raia Mutomboki Militia",1
"2443","Rajneeshees",4
"2444","Rally of Democratic Forces (RAFD)",1
"2445","Ramzi Nahra Martyr Organization",1
"2446","Ranbir Sena",15
"2447","Random Anarchists",1
"2448","Rashtriya Swayamsevak Sangh",8
"2449","Raskamboni Movement",1
"2450","Rastas",2
"2451","Rastriya Janashakti Party (RJP)",1
"2452","Raul Ernesto Cruz Leon, Salvadorian",3
"2453","Raul Sendic International Brigade",1
"2454","Real Irish Republican Army (RIRA)",41
"2455","Real Ulster Freedom Fighters (UFF) - Northern Ireland",4
"2456","Rebel Armed Forces of Guatemala (FAR)",36
"2457","Rebellious Group Lambros Foundas",1
"2458","Rebel Military Unit",7
"2459","Rebels",37
"2460","Rebels backing deposed Pres. Zviad Gamsakhurdia",1
"2461","Rebel Socialists",1
"2462","Recompras",7
"2463","Recontras",61
"2464","Red Army Faction (RAF)",67
"2465","Red Army for the Liberation of Catalonia",2
"2466","Red Brigades",218
"2467","Red Brigades Fighting Communist Party (BR-PCC)",7
"2468","Red Brigades Fighting Communist Union (BR-UCC)",3
"2469","Red Cell",5
"2470","Red Commandos",1
"2471","Red Dawn Front (Frente Amanecer Rojo)",2
"2472","Red Flag",1
"2473","Red Flag (Venezuela)",25
"2474","Red Flying Squad",3
"2475","Red Guard",3
"2476","Red Guerilla Family",5
"2477","Red Guerrilla",7
"2478","Red Hand Commandos",10
"2479","Red Hand Defenders (RHD)",23
"2480","Red June",1
"2481","Red June of 14 June",1
"2482","Red Line",1
"2483","Red Patriots Group",1
"2484","Red Resistance Front",1
"2485","Red Revolutionary Front",2
"2486","Red Sea Afar Democratic Organization (RSADO)",3
"2487","Red Tribune",1
"2488","Reform of the Armed Forces Movement",9
"2489","Regulators",1
"2490","Relatives of terrorist",1
"2491","Republican Action Against Drugs (RAAD)",1
"2492","Republican Action Force",6
"2493","Republican Anticlerical Group",1
"2494","Republican People's Party",1
"2495","Republic of New Afrika",2
"2496","Republic of Texas",1
"2497","Resistance Cell",1
"2498","Resistance, Liberation and Independence Organization (AAA)",1
"2499","Resistance Movement",1
"2500","Resistance Movement of the Union of Revolt Workers",1
"2501","Resistencia Galega",3
"2502","Resistenza",73
"2503","Resistenza Corsa",4
"2504","Retired Soldier",1
"2505","Revenge Brigade",1
"2506","Revenge Movement",1
"2507","Revenge of the Trees",1
"2508","Revolted Persons of the Polytech School",1
"2509","Revolutionaries Army (Jaysh al-Thowwar)",1
"2510","Revolutionary Action",7
"2511","Revolutionary Action Front",2
"2512","Revolutionary Action Groups",1
"2513","Revolutionary Action of Liberation",4
"2514","Revolutionary Action Organization of the Arab Resistance Front",2
"2515","Revolutionary Action Party",3
"2516","Revolutionary Anarchist Armed Terrorist Movement",1
"2517","Revolutionary Anti-Capitalist Initiative",2
"2518","Revolutionary Anti-Racist Action",3
"2519","Revolutionary Arab Youth Organization",1
"2520","Revolutionary Armed Forces- Argentina (FAR-A)",5
"2521","Revolutionary Armed Forces (FAR)",2
"2522","Revolutionary Armed Forces for the Liberation of Colombia (FALCO)",1
"2523","Revolutionary Armed Forces of Colombia (FARC)",2474
"2524","Revolutionary Armed Forces of Nicaragua (FARN)",6
"2525","Revolutionary Armed Organization",3
"2526","Revolutionary Army",2
"2527","Revolutionary Autonomous Group",1
"2528","Revolutionary Bolivariano Movement 200",1
"2529","Revolutionary Cells",59
"2530","Revolutionary Cells-Animal Liberation Brigade",2
"2531","Revolutionary Cells (Argentina)",2
"2532","Revolutionary Cells Network (SRN)",3
"2533","Revolutionary Christians of the Cedars",1
"2534","Revolutionary Combat Brigades",1
"2535","Revolutionary Command",1
"2536","Revolutionary Commandos of Solidarity",3
"2537","Revolutionary Commandos of the People (CRP)",15
"2538","Revolutionary Committee for Counter Force",1
"2539","Revolutionary Committee of Mozambique (COREMO)",1
"2540","Revolutionary Communist Armed Nuclei",1
"2541","Revolutionary Communist League (LCR) (Spain)",9
"2542","Revolutionary Communist Party",2
"2543","Revolutionary Communist Youth Brigade (RCYB)",1
"2544","Revolutionary Continuity",1
"2545","Revolutionary Coordination of the Masses",1
"2546","Revolutionary Eelam Organization (EROS)",2
"2547","Revolutionary Fighting Group 80",1
"2548","Revolutionary Flames",1
"2549","Revolutionary Force",1
"2550","Revolutionary Force 26",2
"2551","Revolutionary Force 9",3
"2552","Revolutionary Force Seven",5
"2553","Revolutionary Forces for the Liberation of Iraq",1
"2554","Revolutionary Front",1
"2555","Revolutionary Front for an Independent East Timor (FRETILIN)",11
"2556","Revolutionary Front for Hatian Advancement and Progress (FRAPH)",4
"2557","Revolutionary Front for National Liberation",6
"2558","Revolutionary Headquarters (Turkey)",1
"2559","Revolutionary Insurgent Armed Forces of Ecuador (FAIRE)",1
"2560","Revolutionary Internationalist Solidarity",3
"2561","Revolutionary Labor Commandos",1
"2562","Revolutionary Labor Organization",1
"2563","Revolutionary Leninist Brigades",1
"2564","Revolutionary Liberation Action (Epanastatiki Apelevtherotiki Drasi) - Greece",3
"2565","Revolutionary Liberation Cells",1
"2566","Revolutionary Militant Left organization",1
"2567","Revolutionary Military Council",1
"2568","Revolutionary Movement",1
"2569","Revolutionary Movement for National Salvation (REMNASA)",3
"2570","Revolutionary Movement of People in Arms",1
"2571","Revolutionary Nationalist Movement",1
"2572","Revolutionary Nuclei",12
"2573","Revolutionary Organization of People in Arms (ORPA)",117
"2574","Revolutionary Organization of Socialist Muslims",5
"2575","Revolutionary Patriotic Anti-Fascist Front (FRAP)",49
"2576","Revolutionary Peoples Army",2
"2577","Revolutionary People's Struggle (ELA)",88
"2578","Revolutionary Perspective",5
"2579","Revolutionary Popular Left",7
"2580","Revolutionary Proletarian Army",1
"2581","Revolutionary Proletarian Initiative Nuclei (NIPR)",2
"2582","Revolutionary Punishment Movement",11
"2583","Revolutionary Road",1
"2584","Revolutionary Security Apparatus",2
"2585","Revolutionary Solidarity",4
"2586","Revolutionary Struggle",24
"2587","Revolutionary Student Brigade",1
"2588","Revolutionary Student Front",3
"2589","Revolutionary United Front Movement",1
"2590","Revolutionary United Front (RUF)",65
"2591","Revolutionary Vanguard",2
"2592","Revolutionary Violence Units",1
"2593","Revolutionary Voice of the People (VPR)",2
"2594","Revolutionary Worker Clandestine Union of the People Party (PROCUP)",3
"2595","Revolutionary Workers' Council (Kakurokyo)",24
"2596","Revolutionary Workers Party",10
"2597","Revolutionary Workers Party of Bolivia (PRTB)",3
"2598","Rezi Rezai International Brigades",1
"2599","Rhodesian guerillas",1
"2600","Ricardo Franco Front (Dissident FARC)",62
"2601","RIF Popular Front",1
"2602","Rightist supporters of Democratic Alliance",1
"2603","Right Sector",5
"2604","Right Wing Christian extremists",2
"2605","Right-Wing Death Squad",20
"2606","Right-Wing Extremists",53
"2607","Right-Wing Group",19
"2608","Right-Wing Gunmen",2
"2609","Right Wing Lebanese Militiamen",1
"2610","Right-Wing Militants",3
"2611","Right-Wing National Youth Front",1
"2612","Right-Wing Paramilitaries",14
"2613","Right-Wing Rebel Military Group",2
"2614","Right-wing Terrorists",2
"2615","Right Wing Vigilantes",5
"2616","Right-Wing Youths",1
"2617","rioters",5
"2618","Rival Activists",10
"2619","Rival Afghan Group",1
"2620","Rival Bangledesh Chhatra League Faction",1
"2621","Rival caste",5
"2622","Rival clan",1
"2623","Rival Parts",1
"2624","Rival Party Members",1
"2625","Rival peasant band",1
"2626","Rival Soccer Clubs",1
"2627","Rival Zulu Group, name not stated",1
"2628","Riyadus-Salikhin Reconnaissance and Sabotage Battalion of Chechen Martyrs",10
"2629","Rizvon Sadirov Group",2
"2630","Roberto Santucho Revolutionary Group",1
"2631","Robin Food",4
"2632","Robin Garcia Student Front",1
"2633","Rodolfo Walsh National Command",1
"2634","Rodrigo Franco Command",15
"2635","Rohingya Solidarity Organization",3
"2636","Roque Dalton Commando",1
"2637","ROSADO-SOTO Command",1
"2638","Rote Zora",2
"2639","Rubicon (Rouvikonas)",2
"2640","Ruminahui Front",1
"2641","Runda Kumpulan Kecil (RKK)",118
"2642","Russian Militia",1
"2643","Russian separatists",2
"2644","Russian Unity",1
"2645","RVA",1
"2646","Rwanda Patriotic Front (RPF)",11
"2647","Rwenzururu Rebels",2
"2648","RYF",3
"2649","Sa'ad Militia",1
"2650","Sabaot Land Defense Force (SLDF)",4
"2651","Sabaot Tribe",1
"2652","Sabaot tribesmen",1
"2653","Saffron Tigers",1
"2654","Sagrado Corazon Fanatic Group",1
"2655","Saharan Revolutionary Armed Front (FARS)",3
"2656","Saif-ul-Muslimeen",1
"2657","Salafi Abu-Bakr al-Siddiq Army",2
"2658","Salafia Jihadia",5
"2659","Salafi Daawa Group",1
"2660","Salafi Extremists",1
"2661","Salafist Group for Preaching and Fighting (GSPC)",214
"2662","Salah al-Din Squad",1
"2663","Salvadoran Guerrillas",2
"2664","Sammilito Sangskritik Jote (Alliance of Cultural Forums)",1
"2665","Samyukta Janatantrik Terai Mukti Morcha (SJTMM)",5
"2666","Samyukta Jatiya Mukti Morcha (SJMM)",12
"2667","Samyukta Terai Madhes Mukti Party",1
"2668","Sanaa Province of the Islamic State",29
"2669","Sandinista National Liberation Front (FSLN)",209
"2670","Sandinista Protester",1
"2671","Sandinistas",19
"2672","Sandinist People's Army (EPS)",4
"2673","Sandval (union) Movement",1
"2674","Sanghiya Limbuwan Committee (SLC)",1
"2675","Sanidila Secessionist Movement",2
"2676","Saor Eire (Irish Republican Group)",2
"2677","Saraya al-Mukhtar",1
"2678","Saraya Waad Allah",1
"2679","Sardinian Autonomy Movement",1
"2680","Saudi Hezbollah",1
"2681","Save Kashmir Movement",3
"2682","Save Our Israel Land",3
"2683","Save Uganda Movement",3
"2684","Sayfullakh",1
"2685","Scheutzen group",1
"2686","Schiedam Youth Front",1
"2687","Scooter Borne terrorists",2
"2688","Scottish Nationalists",1
"2689","Scottish National Liberation Army",7
"2690","Scottish Socialist Republican League",2
"2691","Seaborne Moslem Raiders",1
"2692","Sea Shepherd Conservation Society",1
"2693","Seattle Liberation Front",1
"2694","Secessionists",7
"2695","Secret Anti-Communist Army (ESA)",19
"2696","Secret Army Organization",2
"2697","Secret Cuban Government",8
"2698","Secret Organization of al-Qaida in Europe",4
"2699","Secret Organization Zero",2
"2700","Sect of Revolutionaries (Greece)",3
"2701","Seiji Kesha Kokuyukai",1
"2702","Seikijuku",3
"2703","Sekihotai",2
"2704","Seleka",32
"2705","Self-Defense Against All Authority",1
"2706","Self Defense Forces",1
"2707","Self-Defense Group of Imghad Tuaregs and Allies (GATIA)",3
"2708","self-styled iconoclasts-nihilists",1
"2709","Senki (""Battle Flag"")",8
"2710","Separatist Arab Guerrillas",1
"2711","Separatist Clandestine Organization",1
"2712","Separatists",498
"2713","September 11",4
"2714","September 11 Commandos",3
"2715","September 17 Organization",1
"2716","Serb demonstrators",1
"2717","Serbian Gangsters",1
"2718","Serbian guerrillas",17
"2719","Serbian irregulars",2
"2720","Serbian Militants",7
"2721","Serbian Nationalists",4
"2722","Serbian rebels",2
"2723","Serb Radical Party",1
"2724","Serbs",4
"2725","Servants of Islam Organization",1
"2726","Ses'khona Peoples' Rights Movement",1
"2727","Settlers at Kfar Darom",3
"2728","SFT",1
"2729","Shabelle Valley militia",2
"2730","Shabwah Province of the Islamic State",1
"2731","Shahid Khalsa Force",2
"2732","Shahin (Falcon)",1
"2733","Shamiya Front",2
"2734","Sham 'unite",1
"2735","Shangytown residents",1
"2736","Shan Insurgents",3
"2737","Shan State Army - North (SSA-N)",4
"2738","Shan State Army - South (SSA-S)",3
"2739","Shan State Progressive Party",11
"2740","Shanti Bahini - Peace Force",99
"2741","Shanty Dwellers",1
"2742","Shan United Revolutionary Army",5
"2743","Sharivad 17 Tal-Al-Za'atar(Sept 17 Tal-Al-Za'atar)",1
"2744","Sharp Sword Organization",1
"2745","Shaykh Hassan Khalid Forces",1
"2746","Shaykh Subhi Al-Salih Forces",18
"2747","Sheikh Omar Hadid Brigade",4
"2748","Shield of Islam Brigade",2
"2749","Shiite Muslims",33
"2750","Shining Path (SL)",4548
"2751","Shinwari Tribe",1
"2752","Shiv Sena",2
"2753","Shonkonjuku Group",1
"2754","Shop owners",1
"2755","Shura Council of Ajdabiya Revolutionaries",3
"2756","Shura Council of Benghazi Revolutionaries",14
"2757","Shura Council of Mujahideen in Derna",2
"2758","Siah KAL",1
"2759","Sicarii",4
"2760","Sikh Extremists",714
"2761","Simon Bolivar Guerrilla Coordinating Board (CGSB)",206
"2762","Sinai Province of the Islamic State",172
"2763","Sindhi nationalists",3
"2764","Sindh Liberation Front",2
"2765","Sindhu Desh Liberation Army (SDLA)",55
"2766","Sinhalese Extremists",1
"2767","Sinhalese Insurgents",1
"2768","Sinhalese Militants",4
"2769","Sipah-e-Sahaba/Pakistan (SSP)",19
"2770","Sipah-I-Mohammed",6
"2771","Sisters in Arms",1
"2772","Sixth of March Group",1
"2773","SKIF Detachment",1
"2774","Skinhead group",1
"2775","Skinheads",3
"2776","Slum Dwellers",1
"2777","Smugglers and Elephant Poachers",1
"2778","Social Christian Party (PSC)",1
"2779","Socialist Chhatra League",1
"2780","Socialist Labor Party of Lebanon",1
"2781","Socialist-Nationalist Front (SNF)",1
"2782","Socialist Patients' Collective (SPK)",3
"2783","Socialist Recovery Movement",1
"2784","Socialist Revolutionary Brigade",1
"2785","Social Resistance",9
"2786","Soldiers of the Algerian Opposition",3
"2787","Soldiers of the Caliphate",2
"2788","Soldiers of Truth",7
"2789","Solidarist Resistance Movement",2
"2790","Solidarity with imprisoned members of Action Directe (AD)",2
"2791","Somali Gang",1
"2792","Somali Guerrillas",1
"2793","Somali Islamic Front",3
"2794","Somali National Alliance",2
"2795","Somali National Movement",7
"2796","Somali Patriotic Movement",1
"2797","Somali Salvation Democratic Front (SSDF)",1
"2798","Somali Salvation Front (SSF)",8
"2799","Somoza Sympathizers",1
"2800","Somozists",4
"2801","Sons of Liberty",2
"2802","Sons of the Gestapo",1
"2803","Sons of the South",1
"2804","Sons of the South (Shiite Muslim Group)",1
"2805","S. O. S. France",1
"2806","Soskan tribe",1
"2807","South African guerrillas",1
"2808","South African Liberation Support Cadre (SALSC)",3
"2809","Southern Front",14
"2810","Southern Mobility Movement (Yemen)",59
"2811","Southern Nucleus of Communist Counterpower",1
"2812","Southern Sierra Peasant Organization",2
"2813","Southern Yemen Separatists",6
"2814","South Lebanon Army",1
"2815","South Londonderry Volunteers (SLV)",2
"2816","South Moluccans",9
"2817","South Ossetian Extremists",1
"2818","South Ossetian Separatists",10
"2819","South Sudan Armed Forces (SSAF)",1
"2820","South Sudan Democratic Army",2
"2821","South Sudan Liberation Army (SSLA)",3
"2822","South-West Africa People's Organization (SWAPO)",63
"2823","Sovereign Citizen",4
"2824","Sovereign Panama Patriotic Front",1
"2825","Soviet and Cuban-backed rebels/mercenaries",1
"2826","Spanish Armed Group",4
"2827","Spanish Basque Battalion (BBE) (rightist)",14
"2828","Spanish Falange",1
"2829","Spanish International Communist Party",1
"2830","Spanish National Action",5
"2831","Special Purpose Islamic Regiment (SPIR)",3
"2832","Squadrons of Terror (Katibat El Ahoual)",2
"2833","Squatters",1
"2834","State Council of Indian and Peasant Organization",1
"2835","St. Kitts Nevis Labor Party",1
"2836","Stop the War Coalition",1
"2837","Strike Enforcers",1
"2838","Strikers",48
"2839","Striking Minors Group",1
"2840","Struggle Against Misery and Exploitation of Peasants",2
"2841","Student Demonstrators",4
"2842","Student Front of the People",4
"2843","Student Militants",1
"2844","Student Network of Mandalay",1
"2845","Student Radicals",74
"2846","Student Revolutionary Front (FER)",1
"2847","Students",20
"2848","Students for a Democratic Society",2
"2849","Students for a Democratic Society (SDS) (German)",1
"2850","Students Islamic Movement of India (SIMI)",15
"2851","Students  U of PNG",1
"2852","Subversives",11
"2853","Sudan Alliance Forces",4
"2854","Sudanese mostly Christian rebels",1
"2855","Sudanese People's Front",1
"2856","Sudanese People's Liberation Forces",5
"2857","Sudanese Rebels",1
"2858","Sudan Liberation Army-Minni Minawi (SLA-MM)",8
"2859","Sudan Liberation Movement",15
"2860","Sudan People's Liberation Army (SPLA)",45
"2861","Sudan People's Liberation Movement in Opposition (SPLM-IO)",42
"2862","Sudan People's Liberation Movement - North",52
"2863","Sudan Revolutionary Front (SRF)",5
"2864","Sudtiroler Volkspartei-south tyrol people's party",4
"2865","Sudurpaschim Janata Dal",1
"2866","Suicide Squad",3
"2867","Sungu Sungu",1
"2868","Sunni Muslims",25
"2869","Sunni Resistance Committees in Lebanon (SRCL)",1
"2870","Sunni Supporters",1
"2871","Supporter of Bhutto",1
"2872","Supporters, House Speaker Ramon Mitra",1
"2873","Supporters of Abd Rabbuh Mansur Hadi",17
"2874","Supporters of Ali Abdullah Saleh",2
"2875","Supporters of Ex-President Gamsakhurdial",10
"2876","Supporters of Joshua Nkomo",8
"2877","Supporters of leftist Gana-Oikya Front",2
"2878","Supporters of opposing candidate Abdu Sakurtan",1
"2879","supporters of presidential candidate Belisario Bet",1
"2880","Supporters of President J-B Aristide",1
"2881","Supporters of Qadhafi",6
"2882","Supporters of ret. Gen. Lino Oviedo",1
"2883","Supporters of Right and Freedom",1
"2884","Supporters of Second Prime Minister Hun Sen",1
"2885","Supporters of the Islamic State in Jerusalem",9
"2886","Supporters of the Islamic State in the Land of the Two Holy Mosques",2
"2887","Supporters Opposition Leader Etienne Tshisekedi",1
"2888","Support for Refugees (Appui aux Refugies)",1
"2889","Support of Ocalan-The Hawks of Thrace",1
"2890","Supreme Command for Jihad and Liberation",2
"2891","Supreme Council for Islamic Revolution in Iraq (SCIRI)",11
"2892","Supreme Islamic Council",1
"2893","Suriname Liberation Front",1
"2894","Surinamese Amerindians",2
"2895","Survivors of Golfech",7
"2896","Survivors of Hama",1
"2897","suspended policemen",1
"2898","Swatantra Nepal Dal",1
"2899","Swaziland Youth Congress (Swayoco)",1
